year	precio_medio_cierre	maximo_historico_anual	volumen_total_anual	volatilidad_media_anual	num_sesiones
2008	15.498516138740158	43.61999893	1226378296	1.2312007586614175	254
2007	22.458710246428573	51.49000168	962945586	0.9496429083730157	252
2011	31.2621179221875	73.84999847	830265480	2.0538476108984374	256
2009	14.512678773165355	36.47499847	729657400	1.0793307448818898	254
2010	22.130457706757813	65.48999786	718011743	1.1480859519921873	256
2005	17.365306054807693	40.09000015	681799462	0.5755384373846153	260
2006	20.101286989294117	46.47000122	677877004	0.8034509098431373	255
2012	34.82022072114625	74.0	647563102	1.6122529103557313	253
2003	14.838252221283526	38.68999863	631910636	1.066130357203065	261
2004	16.343424356755726	37.65999985	629077612	0.6469464850381678	262
2002	18.050004907931037	48.15999985	573062466	1.432145795249042	261
2020	45.736496167165356	77.30999756	521694908	1.7838977004724408	254
2015	59.271332973622044	123.75	516133634	2.6262994284251966	254
2018	56.555558113809525	97.5	499294997	1.5906745667857143	252
2016	48.65102079784314	94.70999908	463553841	1.9787448210980392	255
2001	16.768282951992337	42.25	437375217	1.283946560306513	261
2019	49.2282050385259	78.30000305	423053115	1.2749799147011949	251
1998	13.693786259122605	44.22700119	421921970	1.1293792869348658	261
2013	42.37407811511905	85.73000336	409299969	1.3987300808333336	252
1999	11.907347952835249	32.68999863	405426905	1.012670502337165	261
2014	51.481252034722225	96.09999847	402515892	1.734682476984127	252
2017	55.44359202627451	91.76000214	400492608	1.3050192439607844	255
2000	14.990722458076924	41.77000046	371386887	1.3626540336153843	260
2022	67.98192591992218	100.4199982	363462059	2.0517899634630345	257
1997	11.592631581268199	30.46100044	356673200	0.679344915440613	261
2021	66.24651774988234	96.38999939	340004577	1.7870587220784313	255
2024	87.05025356003937	115.3499985	275930202	1.7738190590551182	254
2023	91.15022559094118	113.4599991	262621082	1.7995294313333332	255
1996	8.807745682578947	21.41500092	23114000	0.310552797631579	38
